Page Load Speed (ms),Time
1796,2016-07-01 07:05:40
544,2016-07-01 07:07:07
307,2016-07-01 07:08:12
339,2016-07-01 07:08:32
450,2016-07-01 07:41:15
744,2016-07-01 07:41:16
2044,2016-07-01 07:42:36
2451,2016-07-01 07:42:36
1622,2016-07-01 07:43:52
1865,2016-07-01 07:43:52
792,2016-07-01 07:45:18
519,2016-07-01 07:45:18
810,2016-07-01 07:46:34
1383,2016-07-01 07:46:34
1158,2016-07-01 07:47:49
1474,2016-07-01 07:47:49
507,2016-07-01 08:07:40
427,2016-07-01 08:07:41
411,2016-07-01 08:07:53
572,2016-07-01 08:08:28
603,2016-07-01 08:09:47
616,2016-07-01 08:09:47
586,2016-07-01 08:10:32
598,2016-07-01 08:10:32
641,2016-07-01 08:11:17
750,2016-07-01 08:39:30
597,2016-07-01 09:13:01
500,2016-07-01 09:13:12
330,2016-07-01 09:13:14
421,2016-07-01 09:13:16
660,2016-07-01 09:13:19
252,2016-07-01 09:13:58
756,2016-07-01 09:14:09
207,2016-07-01 09:14:18
227,2016-07-01 09:14:20
286,2016-07-01 09:16:00
702,2016-07-01 09:35:27
449,2016-07-01 09:35:29
279,2016-07-01 09:35:33
612,2016-07-01 09:37:50
611,2016-07-01 09:38:25
625,2016-07-01 09:38:25
903,2016-07-01 09:40:32
570,2016-07-01 09:41:05
568,2016-07-01 09:41:35
389,2016-07-01 09:41:53
370,2016-07-01 09:41:53
606,2016-07-01 09:44:14
557,2016-07-01 09:44:14
620,2016-07-01 09:46:52
568,2016-07-01 09:46:52
4150,2016-07-01 09:47:54
4383,2016-07-01 09:47:54
573,2016-07-01 09:49:11
678,2016-07-01 09:49:11
579,2016-07-01 09:51:06
637,2016-07-01 09:51:06
597,2016-07-01 09:51:18
843,2016-07-01 09:51:18
396,2016-07-01 09:52:08
399,2016-07-01 09:52:08
629,2016-07-01 09:53:26
646,2016-07-01 09:53:26
584,2016-07-01 09:56:00
597,2016-07-01 09:56:00
459,2016-07-01 09:58:52
564,2016-07-01 10:00:44
616,2016-07-01 10:00:44
397,2016-07-01 10:02:32
599,2016-07-01 10:02:32
596,2016-07-01 10:04:29
611,2016-07-01 10:04:29
517,2016-07-01 10:08:50
481,2016-07-01 10:08:52
269,2016-07-01 10:08:53
386,2016-07-01 10:08:59
226,2016-07-01 10:09:06
1370,2016-07-01 10:09:59
1680,2016-07-01 10:10:02
1502,2016-07-01 10:10:06
624,2016-07-01 10:11:20
688,2016-07-01 10:11:20
589,2016-07-01 10:11:45
614,2016-07-01 10:11:45
567,2016-07-01 10:13:21
677,2016-07-01 10:13:21
555,2016-07-01 10:14:35
559,2016-07-01 10:14:35
1121,2016-07-01 10:15:00
908,2016-07-01 10:15:00
543,2016-07-01 10:16:10
781,2016-07-01 10:16:10
703,2016-07-01 10:16:24
385,2016-07-01 10:16:24
392,2016-07-01 10:17:05
371,2016-07-01 10:17:06
579,2016-07-01 10:19:06
367,2016-07-01 10:19:23
575,2016-07-01 10:21:04
623,2016-07-01 10:21:04
524,2016-07-01 10:22:54
441,2016-07-01 10:22:56
271,2016-07-01 10:22:57
251,2016-07-01 10:23:08
372,2016-07-01 10:23:10
669,2016-07-01 10:23:41
573,2016-07-01 10:25:51
518,2016-07-01 10:25:51
372,2016-07-01 10:28:31
379,2016-07-01 10:28:31
302,2016-07-01 10:28:35
581,2016-07-01 10:36:03
451,2016-07-01 10:36:16
461,2016-07-01 10:38:12
725,2016-07-01 10:38:12
628,2016-07-01 10:38:25
331,2016-07-01 10:38:25
1246,2016-07-01 10:38:34
1439,2016-07-01 10:39:00
1752,2016-07-01 10:39:10
1815,2016-07-01 10:39:10
342,2016-07-01 10:40:55
881,2016-07-01 10:42:34
1616,2016-07-01 10:43:00
1736,2016-07-01 10:43:00
533,2016-07-01 10:44:05
952,2016-07-01 10:44:53
972,2016-07-01 10:44:53
587,2016-07-01 10:46:39
640,2016-07-01 10:46:39
